Aafrika	África
Ununtrium	Unúntrio
Fleroovium	Fleróvio
Ununpentium	Ununpêntio
Livermoorium	Livermório
Ununseptium	Ununséptio
Ununoktium	Ununóctio
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Talv	Inverno
Kevad	Primavera
Suvi	Verão
Sügis	Outono
Võrdpäevsus	Equinócio
Şaddām Ḩusayn	Saddam Hussein
Usāmah ibn Lādin	Osama bin Laden
Hispaania keel	Língua castelhana
Friedrich August von Hayek	Friedrich Hayek
Montevideo	Montevidéu
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Togliatti	Togliatti
Pittsburgh	Pittsburgh
Ooper	Ópera
Philadelphia	Filadélfia
Kolkata	Calcutá
Opel Astra	Opel Astra
Chennai	Chennai
Delhi	Deli
Dhaka	Daca
Bangalore	Bangalore
Lääne-Bengali osariik	Bengala Ocidental
Ämblikulised	Aranha
Ämblikulaadsed	Aracnídeos
Lõugtundlased	Chelicerata
Lülijalgsed	Artrópode
Hyderabad	Hyderabad (Andhra Pradesh)
Islamabad	Islamabad
Tripura	Tripura
Vili	Fruto
Raha	Dinheiro
Virginia	Virgínia
Lääne-Virginia	Virgínia Ocidental
Matterhorn	Matterhorn
Dungeons & Dragons	Dungeons & Dragons
Harilik paprika	Capsicum annuum
Piran	Piran
Huroni järv	Lago Huron
New Yorgi osariik	Nova Iorque (estado)
Tseerium	Cério
Praseodüüm	Praseodímio
Rhode Island	Rhode Island
Neodüüm	Neodímio
Putukad	Insetos
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Euroopium	Európio
Ohio	Ohio
Vergilius	Virgílio
Niccolò Machiavelli	Nicolau Maquiavel
Pennsylvania	Pensilvânia
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augusto
Microsoft Windows	Microsoft Windows
Tiberius	Tibério
New Jersey osariik	Nova Jérsia
Caligula	Calígula
Gibraltar	Gibraltar
Claudius	Cláudio
Soome keel	Língua finlandesa
Nero	Nero
Galba	Galba
Indiana	Indiana
Otho	Otão
Vitellius	Vitélio
Nokia (ettevõte)	Nokia
Vespasianus	Vespasiano
Auto	Automóvel
Titus	Tito (imperador)
Torino Juventus	Juventus Football Club
Domitianus	Domiciano
Nerva	Nerva
Traianus	Trajano
Roger Federer	Roger Federer
Hadrianus	Adriano
Georgia	Geórgia (Estados Unidos)
Antoninus Pius	Antonino Pio
Marcus Aurelius	Marco Aurélio
KDE	KDE
Lucius Verus	Lúcio Vero
Commodus	Cómodo
Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajastão
Campania	Campânia
Texas	Texas
Didius Julianus	Dídio Juliano
Septimius Severus	Septímio Severo
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracala
Apuulia	Apúlia
Genova	Génova
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Basilicata	Basilicata
Põhja-Carolina	Carolina do Norte
Maahoki	Hóquei em campo
Lõuna-Carolina	Carolina do Sul
UC Sampdoria	Unione Calcio Sampdoria
Calabria	Calábria
Sitsiilia maakond	Sicília
Manila	Manila
Sardiinia	Sardenha
Ferdinand Marcos	Ferdinando Marcos
Noynoy Aquino	Noynoy Aquino
Loire	Rio Loire
Maurits Cornelis Escher	Maurits Cornelis Escher
Seine	Sena
Crohni tõbi	Doença de Crohn
Davao	Davao
Quezon City	Cidade Quezon
Le Mans	Le Mans
Bordeaux	Bordéus
Corazon Aquino	Corazón Aquino
Mayon	Vulcão Mayon
Süsteemne erütematoosne luupus	Lúpus eritematoso sistêmico
Buenos Aires	Buenos Aires
Häkker	Hacker
México	Cidade do México
Tōkyō prefektuur	Tóquio
La Paz	La Paz
Barcelona	Barcelona
Ananass	Ananás
Mississippi osariik	Mississippi
Fernão de Magalhães	Fernão de Magalhães
Mississippi	Rio Mississippi
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Mizoram	Mizoram
Manuel Quezón	Manuel Quezón
Sikkim	Siquim
Patagoonia	Patagónia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abidjã
Abu Dhabi	Abu Dhabi
Astana	Astana
New Mexico	Novo México
Ramses II	Ramsés II
Ateena	Atenas
Ramses I	Ramsés I
Minnesota	Minnesota
Bagdad	Bagdá
Caracas	Caracas
UTC	Tempo Universal Coordenado
Wisconsin	Wisconsin
Cicero	Cícero
AC Milan	Associazione Calcio Milan
Cyndi Lauper	Cyndi Lauper
Iowa	Iowa
Nebraska	Nebraska
Guatemala (linn)	Cidade da Guatemala
Kansas	Kansas
Havanna	Havana
Tubakas (aine)	Tabaco
Hindi keel	Língua hindi
Marathi keel	Língua marata
Internet Explorer	Internet Explorer
Sigar	Charuto
Sigaret	Cigarro
Missouri osariik	Missouri
Georg Simon Ohm	Georg Simon Ohm
Louisiana	Luisiana
Luigi Galvani	Luigi Galvani
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Urdu keel	Língua urdu
Charles Lindbergh	Charles Lindbergh
Édith Piaf	Édith Piaf
Wandsbek	Wandsbek
Osijek	Osijek
Elbe	Rio Elba
Françoise Sagan	Françoise Sagan
Rijeka	Rijeka
Ems	Rio Ems
Oklahoma	Oklahoma
Weser	Rio Weser
Yohan Blake	Yohan Blake
Justin Gatlin	Justin Gatlin
Doonau	Rio Danúbio
Kirani James	Kirani James
David Lekuta Rudisha	David Rudisha
Värss	Verso
Split	Split
Ruhr	Rio Ruhr
Jacques Brel	Jacques Brel
Moseli jõgi	Rio Mosela
Main	Rio Meno
Neckar	Rio Neckar
Aare jõgi	Rio Aar
Ezekiel Kemboi	Ezekiel Kemboi
Saale	Rio Saale
Havel	Rio Havel
Spree	Rio Spree
Félix Sánchez	Félix Sánchez
Põhjameri	Mar do Norte
Skagerrak	Skagerrak
Moskva oblast	Oblast de Moscou
Nesta Carter	Nesta Carter
Stephen Kiprotich	Stephen Kiprotich
Abel Kirui	Abel Kirui
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hanôver
Sergei Kirdjapkin	Sergey Kirdyapkin
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
München	Munique
Samara oblast	Oblast de Samara
Erfurt	Erfurt
Dresden	Dresden
Ivan Uhhov	Ivan Ukhov
Magdeburg	Magdeburgo
Võrkpall	Voleibol
Innsbruck	Innsbruck
Bregenz	Bregenz
Mu‘taz ‘Īsá Barshim	Mutaz Essa Barshim
Viin	Viena
Renaud Lavillenie	Renaud Lavillenie
Madonna (laulja)	Madonna
Kopenhaagen	Copenhaga
Kaliningradi oblast	Oblast de Kaliningrado
Macrinus	Macrino
Stockholm	Estocolmo
Helsingi	Helsínquia
Murmanski oblast	Oblast de Murmansk
Reese Hoffa	Reese Hoffa
Dublin	Dublin
Elagabalus	Heliogábalo
Murmansk	Murmansk
Reykjavík	Reykjavík
Robert Harting	Robert Harting
Ella Fitzgerald	Ella Fitzgerald
Severus Alexander	Alexandre Severo
Tallinn	Tallinn
Eḩsān Ḩadādī	Ehsan Haddadi
Epitaaf	Epitáfio
Riia	Riga
Sansibar	Zanzibar
Gerd Kanter	Gerd Kanter
Maximinus Thrax	Maximino Trácio
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapeste
Gordianus I	Gordiano I
Kōji Murofushi	Koji Murofushi
Charles Aznavour	Charles Aznavour
Gdańsk	Gdańsk
Trey Hardee	Trey Hardee
Frankfurt	Frankfurt am Main
Pupienus	Pupieno
Wrocław	Breslávia
Cochin	Cochim
Lantaan	Lantânio
Gordianus II	Gordiano II
Balbinus	Balbino
Promeetium	Promécio
Astronoomiline ühik	Unidade astronômica
Gordianus III	Gordiano III
Philippus Araablane	Filipe, o Árabe
Samaarium	Samário
Aceh	Achém
Kárášjohka vald	Karasjok
Kaliningrad	Kaliningrado
Decius	Décio
Gadoliinium	Gadolínio
Death Note	Death Note
Zinédine Zidane	Zinédine Zidane
Terbium	Térbio
Katoliiklus	Catolicismo
Luxembourg	Luxemburgo (cidade)
Düsproosium	Disprósio
Vaduz	Vaduz
Piibel	Bíblia
Holmium	Hólmio
San Marino (linn)	San Marino (cidade)
Erbium	Érbio
Phnom Penh	Phnom Penh
Arhangelsk	Arcangel
Tuulium	Túlio
Hồ Chí Minh (linn)	Cidade de Ho Chi Minh
Üterbium	Itérbio
Luteetsium	Lutécio
Hanoi	Hanói
Tõeline Jeesuse Kirik	Verdadeira Igreja de Jesus
Inglise keel	Língua inglesa
Bangkok	Banguecoque
Andorra la Vella	Andorra-a-Velha
Kuala Lumpur	Kuala Lumpur
Taipei	Taipé
Ameriitsium	Amerício
Odessa	Odessa
Arhangelski oblast	Oblast de Arkhangelsk
Kuurium	Cúrio
Đồng Hới	Dong Hoi
Concepción	Concepción (Chile)
Fyresdali vald	Fyresdal
Berkeelium	Berquélio
Düren	Düren
Atalanta BC	Atalanta Bergamasca Calcio
Kalifornium	Califórnio
Diplomaatia	Diplomacia
Bologna	Bolonha
Einsteinium	Einstênio
Bologna FC 1909	Bologna Football Club 1909
Memphis Depay	Memphis Depay
Petroskoi	Petrozavodsk
Fermium	Férmio
Cagliari	Cagliari
Mendeleevium	Mendelévio
Kiiev	Kiev
Cagliari Calcio	Cagliari Calcio
Nobeelium	Nobélio
Catania	Catânia
Ontario	Ontário
Lavrentsium	Laurêncio
Yohan Cabaye	Yohan Cabaye
Olivier Giroud	Olivier Giroud
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
Karjala Vabariik	República da Carélia
Laurent Koscielny	Laurent Koscielny
Patrice Évra	Patrice Evra
Franck Ribéry	Franck Ribéry
Mathieu Valbuena	Mathieu Valbuena
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Jérémy Ménez	Jérémy Ménez
Hatem Ben Arfa	Hatem Ben Arfa
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Anja Pärson	Anja Pärson
Éric Abidal	Éric Abidal
William Gallas	William Gallas
Bacary Sagna	Bacary Sagna
Nicolas Anelka	Nicolas Anelka
Veenuse atmosfäär	Atmosfera de Vênus
Sébastien Squillaci	Sébastien Squillaci
Abou Diaby	Abou Diaby
Juba (Lõuna-Sudaan)	Juba (Sudão do Sul)
Manitoba provints	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Nova Scotia	Nova Escócia
Jerevan	Erevan
Hermann Maier	Hermann Maier
Vologda	Vologda
Vreni Schneider	Vreni Schneider
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Erika Hess	Erika Hess
Hartum	Cartum
New Brunswick	Nova Brunswick
Vormel 1	Fórmula 1
Briti Columbia	Colúmbia Britânica
Prints Edwardi saar	Ilha do Príncipe Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewani provints	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Süsihappegaas	Dióxido de carbono
2013	2013
2014	2014
2015	2015
Newfoundland ja Labrador	Terra Nova e Labrador
2008	2008
JavaScript	JavaScript
Loodealad	Territórios do Noroeste
Yukon	Yukon
2004	2004
Vologda oblast	Oblast de Vologda
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Vingugaas	Monóxido de carbono
Linux Mint	Linux Mint
Verona	Verona
Iqaluit	Iqaluit
1900	1900
1901	1901
Verona Chievo	Associazione Calcio ChievoVerona
François Mitterrand	François Mitterrand
Titus Livius	Tito Lívio
Giuseppe Farina	Giuseppe Farina
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florença
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
HTML5	HTML5
Seneca	Séneca
1908	1908
1909	1909
Whitehorse	Whitehorse (Yukon)
1992	1992
Yellowknife	Yellowknife
1991	1991
JSON	JSON
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
David Lynch	David Lynch
Komi	República de Komi
Genoa CFC	Genoa Cricket and Football Club
1910	1910
1911	1911
1912	1912
SVG	SVG
Leipzig	Leipzig
1913	1913
Saint John's (Kanada)	St. John's
1914	1914
1915	1915
Twin Peaks	Twin Peaks
Alberto Ascari	Alberto Ascari
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberga
1999	1999
1917	1917
Dokumendi objektimudel	Modelo de Objeto de Documentos
1918	1918
Toit	Alimento
Edmonton	Edmonton
Kjetil André Aamodt	Kjetil André Aamodt
Martialis	Marcial
Duisburg	Duisburgo
Elementaarlaeng	Carga do elétron
Maolised	Serpente
Bochum	Bochum
Jacques Chirac	Jacques Chirac
Wuppertal	Wuppertal
Arica y Parinacota	Arica e Parinacota (região)
Valguse kiirus	Velocidade da luz
Bielefeld	Bielefeld
Tarapacá piirkond	Tarapacá (região)
XML	XML
Antofagasta piirkond	Antofagasta (região)
Mannheim	Mannheim
Oraalseks	Sexo oral
Regina	Regina (Saskatchewan)
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Neutriinod	Neutrino
NSV Liidu Ministrite Nõukogu	Conselho de Ministros da União Soviética
Bode Miller	Bode Miller
Victoria (Briti Columbia)	Victoria (Colúmbia Britânica)
LOL	LOL
Winnipeg	Winnipeg
NSV Liidu Rahvakomissaride Nõukogu	Conselho do Comissariado do Povo
Halifax	Halifax
Sõktõvkar	Syktyvkar
Tšerepovets	Cherepovets
Québec (linn)	Quebec (cidade)
1. jaanuar	1 de janeiro
2. jaanuar	2 de janeiro
Uraani kaaslased	Satélites de Urano
1920	1920
3. jaanuar	3 de janeiro
1919	1919
Tacitus	Públio Cornélio Tácito
1921	1921
Neenetsimaa	Nenétsia
1922	1922
Lund	Lund (Suécia)
4. jaanuar	4 de janeiro
1923	1923
Bío-Bío piirkond	Bío-Bío (região)
Lance Armstrong	Lance Armstrong
1924	1924
Narjan-Mar	Naryan-Mar
Asteroidide vöö	Cintura de asteroides
Vene NFSV	República Socialista Federativa Soviética da Rússia
Georges Pompidou	Georges Pompidou
Romulus	Rômulo
Leningradi oblast	Oblast de Leningrado
Kääbusplaneet	Planeta anão
Kick-Ass (film)	Kick-Ass (filme)
5. jaanuar	5 de janeiro
Arica	Arica
Malmö	Malmö
Pihkva	Pskov
Pihkva oblast	Oblast de Pskov
6. jaanuar	6 de janeiro
Elektron	Elétron
7. jaanuar	7 de janeiro
Nissedali vald	Nissedal
Kviteseidi vald	Kviteseid
8. jaanuar	8 de janeiro
Veliki Novgorod	Veliky Novgorod
Seljordi vald	Seljord
9. jaanuar	9 de janeiro
Novgorodi oblast	Oblast de Novgorod
Tokke vald	Tokke
10. jaanuar	10 de janeiro
Vinje vald	Vinje
Nižni Novgorodi oblast	Oblast de Níjni Novgorod
11. jaanuar	11 de janeiro
12. jaanuar	12 de janeiro
Liardi jõgi	Rio Liard
Columbia jõgi	Rio Columbia
Buzz Aldrin	Buzz Aldrin
Telemark	Telemark
13. jaanuar	13 de janeiro
Birmingham	Birmingham
14. jaanuar	14 de janeiro
15. jaanuar	15 de janeiro
16. jaanuar	16 de janeiro
Tom Hanks	Tom Hanks
17. jaanuar	17 de janeiro
18. jaanuar	18 de janeiro
19. jaanuar	19 de janeiro
20. jaanuar	20 de janeiro
Tööstuslik pööre	Revolução Industrial
Benseen	Benzeno
Skieni vald	Skien
21. jaanuar	21 de janeiro
Chet Baker	Chet Baker
22. jaanuar	22 de janeiro
23. jaanuar	23 de janeiro
Rooma keisririik	Império Romano
24. jaanuar	24 de janeiro
25. jaanuar	25 de janeiro
Minsk	Minsk
Sauron	Sauron
26. jaanuar	26 de janeiro
Microsoft	Microsoft
27. jaanuar	27 de janeiro
28. jaanuar	28 de janeiro
29. jaanuar	29 de janeiro
30. jaanuar	30 de janeiro
Tver	Tver
31. jaanuar	31 de janeiro
Porsgrunni vald	Porsgrunn
Tveri oblast	Oblast de Tver
Prooton	Próton
2. detsember	2 de dezembro
1. detsember	1 de dezembro
3. detsember	3 de dezembro
7. detsember	7 de dezembro
5. detsember	5 de dezembro
8. detsember	8 de dezembro
10. detsember	10 de dezembro
6. detsember	6 de dezembro
9. detsember	9 de dezembro
Franklini kadunud ekspeditsioon	Expedição de John Franklin
Pink Floyd	Pink Floyd
Publius Cornelius Scipio Aemilianus	Cipião Emiliano Africano
Siljani vald	Siljan
AvtoVAZ	AvtoVAZ
4. detsember	4 de dezembro
Airbus Group	Airbus Group
1. veebruar	1 de fevereiro
2. veebruar	2 de fevereiro
Naatriumkloriid	Cloreto de sódio
3. veebruar	3 de fevereiro
Kurów	Kurów
Žiguli kõrgustik	Jiguli
4. veebruar	4 de fevereiro
5. veebruar	5 de fevereiro
6. veebruar	6 de fevereiro
7. veebruar	7 de fevereiro
8. veebruar	8 de fevereiro
9. veebruar	9 de fevereiro
10. veebruar	10 de fevereiro
Notoddeni vald	Notodden
Keemia	Química
Led Zeppelin	Led Zeppelin
14. veebruar	14 de fevereiro
13. veebruar	13 de fevereiro
15. veebruar	15 de fevereiro
11. veebruar	11 de fevereiro
12. veebruar	12 de fevereiro
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19. veebruar	19 de fevereiro
17. veebruar	17 de fevereiro
16. veebruar	16 de fevereiro
18. veebruar	18 de fevereiro
20. veebruar	20 de fevereiro
Analüütiline keemia	Química analítica
Smolenski oblast	Oblast de Smolensk
Neutron	Nêutron
Asend nr 69	69 (posição sexual)
21. veebruar	21 de fevereiro
22. veebruar	22 de fevereiro
23. veebruar	23 de fevereiro
Hjartdali vald	Hjartdal
24. veebruar	24 de fevereiro
25. veebruar	25 de fevereiro
26. veebruar	26 de fevereiro
27	27
27. veebruar	27 de fevereiro
28. veebruar	28 de fevereiro
11. detsember	11 de dezembro
29. veebruar	29 de fevereiro
Tinni vald	Tinn
Drangedali vald	Drangedal
12. detsember	12 de dezembro
C Sharp	C Sharp
Kragerø vald	Kragerø
Nome vald	Nome (Noruega)
Visual Basic	Visual Basic
13. detsember	13 de dezembro
Sauheradi vald	Sauherad
14. detsember	14 de dezembro
15. detsember	15 de dezembro
2. märts	2 de março
3. märts	3 de março
5. märts	5 de março
1. märts	1 de março
7. märts	7 de março
8. märts	8 de março
4. märts	4 de março
10. märts	10 de março
11. märts	11 de março
6. märts	6 de março
13. märts	13 de março
9. märts	9 de março
12. märts	12 de março
15. märts	15 de março
14. märts	14 de março
C++	C++
Vesinikkloriidhape	Ácido clorídrico
16. detsember	16 de dezembro
17. detsember	17 de dezembro
Kristiansand	Kristiansand
16. märts	16 de março
17. märts	17 de março
18. märts	18 de março
Jaroslavl	Iaroslavl
19. märts	19 de março
1989	1989
1988	1988
20. märts	20 de março
1987	1987
1986	1986
1985	1985
1984	1984
21. märts	21 de março
1983	1983
22. märts	22 de março
1982	1982
1981	1981
18. detsember	18 de dezembro
1980	1980
23. märts	23 de março
Jaroslavli oblast	Oblast de Iaroslavl
Muqdisho	Mogadíscio
19. detsember	19 de dezembro
24. märts	24 de março
25. märts	25 de março
20. detsember	20 de dezembro
26. märts	26 de março
27. märts	27 de março
28. märts	28 de março
29. märts	29 de março
30. märts	30 de março
31. märts	31 de março
Allier' jõgi	Rio Allier
Nassau	Nassau (Bahamas)
Andromeeda galaktika	Galáxia de Andrômeda
Sanaa	Saná
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Kolmekümneaastane sõda	Guerra dos Trinta Anos
Konrad Adenauer	Konrad Adenauer
Andmete pakkimine	Compressão de dados
Benedictus XVI	Papa Bento XVI
Ludwig Erhard	Ludwig Erhard
15. aprill	15 de abril
13. aprill	13 de abril
12. aprill	12 de abril
14. aprill	14 de abril
11. aprill	11 de abril
10. aprill	10 de abril
8. aprill	8 de abril
9. aprill	9 de abril
7. aprill	7 de abril
6. aprill	6 de abril
5. aprill	5 de abril
4. aprill	4 de abril
3. aprill	3 de abril
1. aprill	1 de abril
2. aprill	2 de abril
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Hubble'i kosmoseteleskoop	Telescópio espacial Hubble
Willy Brandt	Willy Brandt
Kick-Ass	Kick-Ass
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16. aprill	16 de abril
17. aprill	17 de abril
18. aprill	18 de abril
19. aprill	19 de abril
20. aprill	20 de abril
21. aprill	21 de abril
22. aprill	22 de abril
23. aprill	23 de abril
24. aprill	24 de abril
Gerhard Schröder	Gerhard Schröder
25. aprill	25 de abril
26. aprill	26 de abril
27. aprill	27 de abril
28. aprill	28 de abril
29. aprill	29 de abril
30. aprill	30 de abril
Planeedi kaaslane	Satélite natural
Masinõppimine	Aprendizado de máquina
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1. mai	1 de maio
2. mai	2 de maio
3. mai	3 de maio
Energija-Buran	Buran
4. mai	4 de maio
5. mai	5 de maio
Johannes Rau	Johannes Rau
6. mai	6 de maio
7. mai	7 de maio
Knock Nevis	Knock Nevis
8. mai	8 de maio
9. mai	9 de maio
10. mai	10 de maio
11. mai	11 de maio
12. mai	12 de maio
13. mai	13 de maio
14. mai	14 de maio
15. mai	15 de maio
Roman Herzog	Roman Herzog
Titan	Titã (satélite)
Richard von Weizsäcker	Richard von Weizsäcker
Walter Scheel	Walter Scheel
16. mai	16 de maio
17. mai	17 de maio
18. mai	18 de maio
19. mai	19 de maio
20. mai	20 de maio
21. mai	21 de maio
22. mai	22 de maio
23. mai	23 de maio
24. mai	24 de maio
25. mai	25 de maio
26. mai	26 de maio
27. mai	27 de maio
28. mai	28 de maio
29. mai	29 de maio
30. mai	30 de maio
31. mai	31 de maio
Kostroma	Kostroma
Kostroma oblast	Oblast de Kostroma
Paul McCartney	Paul McCartney
Egon Krenz	Egon Krenz
21. detsember	21 de dezembro
Pius XII	Papa Pio XII
Erich Honecker	Erich Honecker
Rooma Lazio	Società Sportiva Lazio
Willi Stoph	Willi Stoph
14. juuni	14 de junho
15. juuni	15 de junho
13. juuni	13 de junho
10. juuni	10 de junho
7. juuni	7 de junho
11. juuni	11 de junho
9. juuni	9 de junho
12. juuni	12 de junho
6. juuni	6 de junho
8. juuni	8 de junho
5. juuni	5 de junho
3. juuni	3 de junho
2. juuni	2 de junho
1. juuni	1 de junho
4. juuni	4 de junho
Walter Ulbricht	Walter Ulbricht
Ivanovo	Ivanovo
Ringo Starr	Ringo Starr
Napoli	Nápoles
22. detsember	22 de dezembro
SSC Napoli	Società Sportiva Calcio Napoli
George Harrison	George Harrison
1968	1968
Huffmani kodeerimine	Codificação de Huffman
1967	1967
1966	1966
1965	1965
1964	1964
16. juuni	16 de junho
Ivanovo oblast	Oblast de Ivanovo
John Franklin	John Franklin
Palermo	Palermo
30. juuni	30 de junho
29. juuni	29 de junho
28. juuni	28 de junho
26. juuni	26 de junho
25. juuni	25 de junho
22. juuni	22 de junho
27. juuni	27 de junho
24. juuni	24 de junho
20. juuni	20 de junho
Paul von Hindenburg	Paul von Hindenburg
23. juuni	23 de junho
19. juuni	19 de junho
18. juuni	18 de junho
21. juuni	21 de junho
17. juuni	17 de junho
Chuck Norris	Chuck Norris
US Palermo	Unione Sportiva Città di Palermo
LZ77	LZ77
23. detsember	23 de dezembro
Wilhelm II	Guilherme II da Alemanha
Homiel	Gomel
Bruce Willis	Bruce Willis
Lempel-Ziv-Welch	LZW
Parma	Parma
Vladimir	Vladimir (cidade)
Arnold Schwarzenegger	Arnold Schwarzenegger
15. juuli	15 de julho
13. juuli	13 de julho
12. juuli	12 de julho
10. juuli	10 de julho
9. juuli	9 de julho
14. juuli	14 de julho
8. juuli	8 de julho
Parma FC	Parma Football Club
7. juuli	7 de julho
6. juuli	6 de julho
5. juuli	5 de julho
2. juuli	2 de julho
4. juuli	4 de julho
3. juuli	3 de julho
1. juuli	1 de julho
11. juuli	11 de julho
Vladimiri oblast	Oblast de Vladimir
Pescara	Pescara
24. detsember	24 de dezembro
Bremerhaven	Bremerhaven
Watford FC	Watford Football Club
31. juuli	31 de julho
30. juuli	30 de julho
29. juuli	29 de julho
28. juuli	28 de julho
27. juuli	27 de julho
25. juuli	25 de julho
24. juuli	24 de julho
23. juuli	23 de julho
26. juuli	26 de julho
22. juuli	22 de julho
19. juuli	19 de julho
21. juuli	21 de julho
20. juuli	20 de julho
17. juuli	17 de julho
18. juuli	18 de julho
16. juuli	16 de julho
Skierniewice	Skierniewice
Jalgpall	Futebol
Louis de Funès	Louis de Funès
AS Roma	Associazione Sportiva Roma
Münster	Münster
Muusikal	Teatro musical
Salatoimikud	The X-Files
25. detsember	25 de dezembro
Rjazan	Riazan
Augsburg	Augsburgo
Siena	Siena
Rjazani oblast	Oblast de Riazan
1963	1963
AC Siena	Associazione Calcio Siena
Lech Kaczyński	Lech Kaczyński
Mönchengladbach	Mönchengladbach
Urbino	Urbino
26. detsember	26 de dezembro
Holokaust	Holocausto
1962	1962
Gelsenkirchen	Gelsenkirchen
IPhone	IPhone
Torino FC	Torino Football Club
Tula	Tula (Rússia)
Braunschweig	Brunsvique
14. august	14 de agosto
15. august	15 de agosto
13. august	13 de agosto
12. august	12 de agosto
11. august	11 de agosto
10. august	10 de agosto
8. august	8 de agosto
7. august	7 de agosto
9. august	9 de agosto
5. august	5 de agosto
4. august	4 de agosto
2. august	2 de agosto
3. august	3 de agosto
6. august	6 de agosto
1. august	1 de agosto
Udine	Údine
Geronimo	Gerônimo
Tula oblast	Oblast de Tula
Chemnitz	Chemnitz
IPad	IPad
Udinese Calcio	Udinese Calcio
27. detsember	27 de dezembro
Brjansk	Briansk
Krefeld	Krefeld
Madrid	Madrid
Elton John	Elton John
Brjanski oblast	Oblast de Briansk
Allveelaev	Submarino
16. august	16 de agosto
Coca-Cola	Coca-Cola
Halle	Halle an der Saale
29. august	29 de agosto
