Yn Affrick	África
23 Mee ny Nollick	23 de dezembro
Illiam II ny Germaan	Guilherme II da Alemanha
15 Jerrey Souree	15 de julho
13 Jerrey Souree	13 de julho
12 Jerrey Souree	12 de julho
10 Jerrey Souree	10 de julho
9 Jerrey Souree	9 de julho
14 Jerrey Souree	14 de julho
8 Jerrey Souree	8 de julho
7 Jerrey Souree	7 de julho
6 Jerrey Souree	6 de julho
5 Jerrey Souree	5 de julho
2 Jerrey Souree	2 de julho
4 Jerrey Souree	4 de julho
3 Jerrey Souree	3 de julho
1 Jerrey Souree	1 de julho
11 Jerrey Souree	11 de julho
24 Mee ny Nollick	24 de dezembro
31 Jerrey Souree	31 de julho
30 Jerrey Souree	30 de julho
29 Jerrey Souree	29 de julho
28 Jerrey Souree	28 de julho
27 Jerrey Souree	27 de julho
25 Jerrey Souree	25 de julho
24 Jerrey Souree	24 de julho
23 Jerrey Souree	23 de julho
26 Jerrey Souree	26 de julho
22 Jerrey Souree	22 de julho
19 Jerrey Souree	19 de julho
21 Jerrey Souree	21 de julho
20 Jerrey Souree	20 de julho
17 Jerrey Souree	17 de julho
18 Jerrey Souree	18 de julho
16 Jerrey Souree	16 de julho
Soccer	Futebol
25 Mee ny Nollick	25 de dezembro
1963	1963
26 Mee ny Nollick	26 de dezembro
Yn Deherree	Holocausto
1962	1962
14 Luanistyn	14 de agosto
15 Luanistyn	15 de agosto
13 Luanistyn	13 de agosto
12 Luanistyn	12 de agosto
11 Luanistyn	11 de agosto
10 Luanistyn	10 de agosto
8 Luanistyn	8 de agosto
7 Luanistyn	7 de agosto
9 Luanistyn	9 de agosto
5 Luanistyn	5 de agosto
4 Luanistyn	4 de agosto
2 Luanistyn	2 de agosto
3 Luanistyn	3 de agosto
6 Luanistyn	6 de agosto
1 Luanistyn	1 de agosto
27 Mee ny Nollick	27 de dezembro
Madrid	Madrid
16 Luanistyn	16 de agosto
29 Luanistyn	29 de agosto
28 Luanistyn	28 de agosto
30 Luanistyn	30 de agosto
25 Luanistyn	25 de agosto
26 Luanistyn	26 de agosto
23 Luanistyn	23 de agosto
27 Luanistyn	27 de agosto
21 Luanistyn	21 de agosto
20 Luanistyn	20 de agosto
24 Luanistyn	24 de agosto
18 Luanistyn	18 de agosto
17 Luanistyn	17 de agosto
22 Luanistyn	22 de agosto
19 Luanistyn	19 de agosto
31 Luanistyn	31 de agosto
Michael Jackson	Michael Jackson
28 Mee ny Nollick	28 de dezembro
Brasília	Brasília
15 Mean Fouyir	15 de setembro
14 Mean Fouyir	14 de setembro
13 Mean Fouyir	13 de setembro
12 Mean Fouyir	12 de setembro
8 Mean Fouyir	8 de setembro
11 Mean Fouyir	11 de setembro
7 Mean Fouyir	7 de setembro
10 Mean Fouyir	10 de setembro
5 Mean Fouyir	5 de setembro
4 Mean Fouyir	4 de setembro
9 Mean Fouyir	9 de setembro
2 Mean Fouyir	2 de setembro
6 Mean Fouyir	6 de setembro
1 Mean Fouyir	1 de setembro
3 Mean Fouyir	3 de setembro
29 Mee ny Nollick	29 de dezembro
30 Mean Fouyir	30 de setembro
29 Mean Fouyir	29 de setembro
28 Mean Fouyir	28 de setembro
27 Mean Fouyir	27 de setembro
26 Mean Fouyir	26 de setembro
25 Mean Fouyir	25 de setembro
Santiago, y Çhillee	Santiago (Chile)
23 Mean Fouyir	23 de setembro
22 Mean Fouyir	22 de setembro
24 Mean Fouyir	24 de setembro
21 Mean Fouyir	21 de setembro
20 Mean Fouyir	20 de setembro
18 Mean Fouyir	18 de setembro
17 Mean Fouyir	17 de setembro
Pobblaght Hoveidjagh Hoshiallagh ny Belaroosh	República Socialista Soviética da Bielorrússia
19 Mean Fouyir	19 de setembro
16 Mean Fouyir	16 de setembro
30 Mee ny Nollick	30 de dezembro
31 Mee ny Nollick	31 de dezembro
1 Jerrey Fouyir	1 de outubro
15 Jerrey Fouyir	15 de outubro
12 Jerrey Fouyir	12 de outubro
10 Jerrey Fouyir	10 de outubro
14 Jerrey Fouyir	14 de outubro
9 Jerrey Fouyir	9 de outubro
8 Jerrey Fouyir	8 de outubro
13 Jerrey Fouyir	13 de outubro
7 Jerrey Fouyir	7 de outubro
11 Jerrey Fouyir	11 de outubro
6 Jerrey Fouyir	6 de outubro
4 Jerrey Fouyir	4 de outubro
5 Jerrey Fouyir	5 de outubro
3 Jerrey Fouyir	3 de outubro
2 Jerrey Fouyir	2 de outubro
Asunción	Assunção
31 Jerrey Fouyir	31 de outubro
30 Jerrey Fouyir	30 de outubro
29 Jerrey Fouyir	29 de outubro
28 Jerrey Fouyir	28 de outubro
26 Jerrey Fouyir	26 de outubro
25 Jerrey Fouyir	25 de outubro
24 Jerrey Fouyir	24 de outubro
27 Jerrey Fouyir	27 de outubro
22 Jerrey Fouyir	22 de outubro
23 Jerrey Fouyir	23 de outubro
20 Jerrey Fouyir	20 de outubro
21 Jerrey Fouyir	21 de outubro
19 Jerrey Fouyir	19 de outubro
17 Jerrey Fouyir	17 de outubro
16 Jerrey Fouyir	16 de outubro
18 Jerrey Fouyir	18 de outubro
Darmstadt	Darmstadt
15 Mee Houney	15 de novembro
14 Mee Houney	14 de novembro
13 Mee Houney	13 de novembro
12 Mee Houney	12 de novembro
11 Mee Houney	11 de novembro
10 Mee Houney	10 de novembro
7 Mee Houney	7 de novembro
8 Mee Houney	8 de novembro
9 Mee Houney	9 de novembro
6 Mee Houney	6 de novembro
5 Mee Houney	5 de novembro
4 Mee Houney	4 de novembro
3 Mee Houney	3 de novembro
2 Mee Houney	2 de novembro
1 Mee Houney	1 de novembro
Paramaribo	Paramaribo
30 Mee Houney	30 de novembro
29 Mee Houney	29 de novembro
28 Mee Houney	28 de novembro
27 Mee Houney	27 de novembro
26 Mee Houney	26 de novembro
25 Mee Houney	25 de novembro
23 Mee Houney	23 de novembro
24 Mee Houney	24 de novembro
21 Mee Houney	21 de novembro
20 Mee Houney	20 de novembro
22 Mee Houney	22 de novembro
19 Mee Houney	19 de novembro
18 Mee Houney	18 de novembro
17 Mee Houney	17 de novembro
16 Mee Houney	16 de novembro
Liger-Atlantel	Loire-Atlantique
Sydney	Sydney
Yn Austrail Heear	Austrália Ocidental
Bretyn Yiass Noa	Nova Gales do Sul
Thalloo yn Twoaie	Território do Norte
Thalloo Preeu-valjagh ny h-Austrail	Território da Capital Australiana
Caayr ny Panamaa	Cidade do Panamá
George Orwell	George Orwell
Aodoù-an-Arvor	Côtes-d'Armor
Penn-ar-Bed	Finistère
Hertfordshire	Hertfordshire
Ankara	Ancara
1961	1961
Trie	Pé (unidade)
Belgraaid	Belgrado
Ronney:Clowanyn Wikipedia	Categoria:!Predefinições Wikipédia
1960	1960
Ronney:Ronnaghyn clowan Wikipedia	Categoria:!Predefinições por tema
Quentin Tarantino	Quentin Tarantino
Ronney:Clowanyn spoyrt	Categoria:!Predefinições sobre esportes
Beirut	Beirute
Ronney:Clowanyn oaylleeaght as najoor	Categoria:!Predefinições sobre ciências
Ronney:Clowanyn sheshaght as oaylleeaght sheshoil	Categoria:!Predefinições sobre sociedade
Ronney:Clowanyn çheer	Categoria:!Predefinições sobre países
Ronney:Clowanyn traa	Categoria:!Predefinições para tempo
Lefkosia	Nicósia
Roltageagh	Asteroide
Ronney:Clowanyn çheer-oaylleeaght	Categoria:!Predefinições sobre geografia
Lusaka	Lusaka
Yn Ghaleesh, y Spaainey	Galiza
Antananarivo	Antananarivo
Detmold	Detmold
Wikipedia:Sandbox	Wikipédia:Página de testes
Wikipedia:Roie-raa	Wikipédia:Introdução
Balley	Vila
Glioonag	Laptop
Algeerey	Álgebra
Kempten	Kempten
Yn Çheer Vascagh (boodeeys hene-reiltagh)	Comunidade autónoma do País Basco
Awin	Rio
Osasco	Osasco
Aragón	Aragão
Glaschu	Glasgow
Geayrag hulfuragh	Ácido sulfúrico
Cruinlagh	Órbita
Purt Aer Dong Hoi	Aeroporto de Dong Hoi
Felix Baumgartner	Felix Baumgartner
Ronney:Crubbee	Categoria:Ungulados
Rollage vuillagh	Pulsar
Curitiba	Curitiba
Ronney:Raaidyn rere çheer	Categoria:Estradas por país
Zichyújfalu	Zichyújfalu
Ronney:Artiodactyla	Categoria:Artiodáctilos
Ronney:Amsterdam	Categoria:Amesterdão
Ronney:Pobblaghtyn Soveidjagh	Categoria:Repúblicas da União Soviética
Ronney:Tooneeshee	Categoria:Tunisinos
Victorious	Victorious
Jonathan Winters	Jonathan Winters
Ronney:Baljaghtyn ayns Liechtenstein	Categoria:Comunidades de Liechtenstein
Clowan:Lang-lt	Predefinição:Lang-lt
Ronney:Kishtaghyn fys sleih	Categoria:!Infocaixas sobre pessoas
Clowan:Caslys-çheerey soiaghey ny Turkee	Predefinição:Mapa de localização/Turquia
Corbin Bleu	Corbin Bleu
Ronney:Maddaght	Categoria:Matemática
Ronney:Kyiv	Categoria:Kiev
Aymarish	Língua aimará
Ellanyn ny Geyrragh	Ilhas Feroe
1488	1488
Troarag	Cultivar
Euro	Euro
Yn Veanvooir	Mar Mediterrâneo
Yn Chreestiaght	Cristianismo
Boalley Verleen	Muro de Berlim
Ushag	Aves
Preeu-valley	Capital
Monzón	Monzón
Clowan:Lang-tr	Predefinição:Lang-tr
Portiugish	Língua portuguesa
Mee	Mês
1948	1948
Eumetasoa	Eumetazoa
1949	1949
Almazán	Almazán
Huang Xianfan	Huang Xianfan
1956	1956
1200	1200
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
Hippocrates	Hipócrates
1944	1944
1952	1952
Shapaanish	Língua japonesa
DVD	DVD
Ard-ghuillag	Wikipédia:Página principal
1959	1959
1957	1957
Ruggyr	Rugby
Yn Oaraishey	Eurásia
Yn Udmurt	Udmúrtia
Yn Tatarstaan	Tartaristão
Yn Vooir Chaspagh	Mar Cáspio
Traen fo-halloo	Metropolitano
1266	1266
Albrecht Dürer	Albrecht Dürer
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo
Peter Paul Rubens	Peter Paul Rubens
Frank Lloyd Wright	Frank Lloyd Wright
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Charles Dickens	Charles Dickens
Åland	Åland
Kanta-Häme	Tavastia Própria
Kymenlaakso	Kymenlaakso
Yn Laplann, Finnlynn	Lapónia (Finlândia)
Pirkanmaa	Pirkanmaa
Österbotten (ard)	Ostrobótnia
Pohjanmaa Hwoaie	Ostrobótnia do Norte
Yn Chataloan	Catalunha
Päijät-Häme	Päijänne Tavastia
Uusimaa	Uusimaa
Finnlynn Chiart	Finlândia Própria
1306	1306
1307	1307
Boodeeys Valencia	Comunidade Valenciana
1308	1308
1309	1309
1310	1310
1311	1311
1312	1312
1313	1313
1314	1314
Ny h-Ellanyn Balearagh	Baleares
Murcia (ard)	Região de Múrcia
Andalucía	Andaluzia
Everton F.C.	Everton Football Club
Novak Đoković	Novak Djokovic
Kabul	Cabul
Fallsoonys	Filosofia
Ronney:Duillagyn er çhionn-scryssey	Categoria:!Páginas para eliminação rápida
Hebe Camargo	Hebe Camargo
1400	1400
1366	1366
Lippe	Lippe
Çheer	País
1380	1380
Calais	Calais
Rheynnyn ny Frank	Departamentos da França
1538	1538
1540	1540
Ronney:Rollageydys	Categoria:Astronomia
Irree Magh ny Frank	Revolução Francesa
UTC±00:00	UTC+0
Gwened	Vannes
1473	1473
Charon (fo-phlannad)	Caronte (satélite)
1484	1484
1485	1485
1486	1486
1487	1487
Croitish	Língua croata
UTC+01:00	UTC+1
1489	1489
1490	1490
1491	1491
1600	1600
UTC+02:00	UTC+2
1584	1584
1608	1608
1711	1711
Unnaneys Rollageydagh Eddyrashoonagh	União Astronómica Internacional
1800	1800
1801	1801
James Joyce	James Joyce
1802	1802
1803	1803
1809	1809
20oo eash	Século XX
1813	1813
21oo eash	Século XXI
1814	1814
19oo eash	Século XIX
1817	1817
1820	1820
1822	1822
1735	1735
1825	1825
1826	1826
18oo eash	Século XVIII
17oo eash	Século XVII
16oo eash	Século XVI
15oo eash	Século XV
Cataloanish	Língua catalã
14oo eash	Século XIV
Ronney:Rollageyn	Categoria:Estrelas
13oo eash	Século XIII
12oo eash	Século XII
11oo eash	Século XI
Anjeeys	Ateísmo
Bea-chemmig	Bioquímica
Eggoaylleeaght	Ecologia
Politickaght	Política
Yn Commeeys Arabagh	Liga Árabe
Fliughane-oaylleeaght	Micologia
Reagheydys Chonaant yn Atlantagh Hwoaie	Organização do Tratado do Atlântico Norte
Reiltys	Governo
Qin Shi Huang	Qin Shihuang
Myn-vioagh-oaylleeaght	Microbiologia
Alexander Pushkin	Alexandre Pushkin
Ealisaid I Hostyn	Isabel I de Inglaterra
Rang-oardraghey	Taxonomia (geral)
Bioag	Organismo
Ada Lovelace	Ada Lovelace
Pobblaght	República
Johannes Brahms	Johannes Brahms
Antonín Dvořák	Antonín Dvořák
George Frideric Handel	Georg Friedrich Händel
Igor Stravinsky	Ígor Stravinski
Pyotr Ilyich Tchaikovsky	Piotr Ilitch Tchaikovsky
Giuseppe Verdi	Giuseppe Verdi
Yn Ghermaan Natseeagh	Alemanha Nazi
Partee Natseeagh	Partido Nacional Socialista dos Trabalhadores Alemães
Jacques Cartier	Jacques Cartier
Ewnyn	Judeu
Yuri Gagarin	Iuri Gagarin
Sleih-champ Auschwitz	Auschwitz
Oświęcim	Oświęcim
Joseph Haydn	Joseph Haydn
Keayn y Jiass	Oceano Antártico
Cleaysh	Orelha
Stroin	Nariz
Sooill	Olho
Keyrrey	Ovis aries
Sheeintagh	Mamíferos
Elefant	Elefante
Ollanish	Língua neerlandesa
Margaret Thatcher	Margaret Thatcher
Caayl blaa	Couve-flor
Lus ny h-oohyn	Beringela
Phobos (fo-phlannad)	Fobos (satélite)
Deimos (fo-phlannad)	Deimos (satélite)
Sniaghtey	Neve
1829	1829
1831	1831
Arraghey	Transporte
1836	1836
1837	1837
1750	1750
1751	1751
1674	1674
1841	1841
1845	1845
1758	1758
1846	1846
1849	1849
1850	1850
1765	1765
1853	1853
1857	1857
1861	1861
1862	1862
1697	1697
1865	1865
1869	1869
Rooshish	Língua russa
1870	1870
Leigh	Direito
1873	1873
Çhalse X ny Frank	Carlos X de França
1789	1789
1877	1877
1790	1790
Arran	Pão
1881	1881
1884	1884
1797	1797
1885	1885
1889	1889
Swahilish	Língua suaíli
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Çhengaghyn Sheenagh	Língua chinesa
1899	1899
Killag	Célula
Hochtaunuskreis	Hochtaunuskreis
Romaanish	Língua romena
Bulgeyrish	Língua búlgara
Detmold (ard)	Detmold (região)
Fliaghey	Chuva
Malagasish	Língua malgaxe
Oaylleeaght najooragh	Ciências naturais
Franklin D. Roosevelt	Franklin Delano Roosevelt
Dowan-oaylleeaght	Ciências da terra
Winston Churchill	Winston Churchill
Nelson Mandela	Nelson Mandela
10oo eash	Século X
Proteen	Proteína
Volcaan	Vulcão
Bodjal	Nuvem
Sterrym cassee	Tornado
9oo eash	Século IX
Towse-oaylleeaght	Geometria
Grammeydys	Gramática
Geay	Vento
Aeraght	Atmosfera
Tarmaynys	Economia
Argid cadjin	Moeda
Çhengoaylleeaght	Linguística
Myn-heean	Fonema
Corys screeuee	Sistema de escrita
Abbyrlhit Arabagh	Alfabeto árabe
Hànzì	Caracteres chineses
Abbyrlhit Kyrillagh	Alfabeto cirílico
Abbyrlhit Greagagh	Alfabeto grego
Abbyrlhit Romanagh	Alfabeto latino
Ronney:Yn Vulgeyr	Categoria:Bulgária
Lettyraght	Literatura
Ronney:Yn Rank	Categoria:França
Ronney:Kiaull	Categoria:Música
Ronney:Lettyraght	Categoria:Literatura
Noaskeeal	Romance
Ronney:Feeleeaght	Categoria:Poesia
Ronney:Shennaghys ny Frank	Categoria:História da França
Manga	Mangá
Shynnagh ruy	Raposa-vermelha
Edjaghys	Educação
Hugo Chávez	Hugo Chávez
Euronews	Euronews
Bainney	Leite
Slieau	Montanha
Andrew Johnson	Andrew Johnson
Ewdish	Língua iídiche
Miami	Miami
Yn Dragan	Draco
Shanghai	Xangai
Albaanish	Língua albanesa
Bascish	Língua basca
Aragonish	Língua aragonesa
Armeainish	Língua arménia
Alsaasish	Língua alsaciana
Ookraanish	Língua ucraniana
Yn Shelgeyr Mooar	Orion (constelação)
Parlamaid ny h-Oarpey	Parlamento Europeu
Coonseil ny h-Oarpey	Conselho da Europa
Yn Cheeaght	Ursa Major
Eaghtyr Tarmaynagh Oarpagh	Espaço Económico Europeu
Purt Aer Vannin	Aeroporto da Ilha de Man
Soolynnish	Língua sueca
Danvargish	Língua dinamarquesa
Norlynnish	Língua norueguesa
Sheckish	Língua tcheca
Slovackish	Língua eslovaca
Sloveanish	Língua eslovena
Ungaarish	Língua húngara
Estoinish	Língua estónia
Latvish	Língua letã
Litaanish	Língua lituana
Belarooshish	Língua bielorrussa
Breneen	Átomo
Greagish	Língua grega
Feayn-skeealleydaght	Mitologia
Yernish	Língua irlandesa
Maltish	Língua maltesa
Craueeaght	Religião
Mandarin	Língua mandarim
Sigmund Freud	Sigmund Freud
Thaish	Língua tailandesa
Yn Ewaghys	Judaísmo
Ewnish	Língua hebraica
Asserbajaanish	Língua azeri
Massadoanish	Língua macedônia
Serbish	Língua sérvia
Bosnish	Língua bósnia
Galeeshish	Língua galega
Bretnish	Língua galesa
Gaelg ny h-Albey	Língua gaélica escocesa
Adam Smith	Adam Smith
Ludwig Wittgenstein	Ludwig Wittgenstein
Barnet F.C.	Barnet Football Club
Shicklaage	Psicologia
Mahommad	Maomé
Fiorag	Esquilo
Tony Blair	Tony Blair
John Major	John Major
James Callaghan	James Callaghan
Gerald Ford	Gerald Ford
Richard Nixon	Richard Nixon
Çhengey (ronsaghey-kirpey)	Língua
Nearag	Nervo
Mwannal	Pescoço
Goolag	Laringe
Lyndon B. Johnson	Lyndon B. Johnson
Olt (ronsaghey-kirpey)	Articulação
Cleeau	Peito
Mannin	Ilha de Man
Ellan Eeaght	Ilha de Wight
Ealisaid II y Reeriaght Unnaneysit	Isabel II do Reino Unido
John F. Kennedy	John F. Kennedy
B	B
Kiaull chlassicagh	Música clássica
Guilckagh (lettyr)	G
Unjin (lettyr)	U
Z (lettyr)	Z
Faarney (lettyr)	F
Juys (lettyr)	J
Abbyrlhit	Alfabeto
Tramman (lettyr)	T
Couyll	C
Bunscoill	Escola primária
Renniagh (lettyr)	R
Darragh (lettyr)	D
Alpha	Α
Iuar	I
Eboin	E
Hibbin (lettyr)	H
Dwight D. Eisenhower	Dwight D. Eisenhower
Haarlem	Haarlem
Keirn (lettyr)	K
Lhouan	L
Malpys (lettyr)	M
Neaynin (lettyr)	N
Onnane (lettyr)	O
Pobbyl (lettyr)	P
Quinsh (lettyr)	Q
Shellagh (lettyr)	S
Ronald Reagan	Ronald Reagan
Vervine (lettyr)	V
Wooishlagh (lettyr)	W
X (lettyr)	X
Yiarn (lettyr)	Y
Rafael Nadal	Rafael Nadal
Plasmey (fishig)	Plasma
Thiollane Vooir Eeaght	Eurotúnel
Ben Foster (bluckaneyr)	Ben Foster (futebolista)
Gordon Brown	Gordon Brown
1100	1100
Ronney:Yn Veneswaaley	Categoria:Venezuela
Beeal Feirshtey	Belfast
Cayr Deeth	Cardiff
Taabyl reiltagh ny bunstooghyn	Tabela periódica
Tórshavn	Tórshavn
Reptilia	Répteis
Archaea	Archaea
Bacteria	Bactéria
Billey	Árvore
Protista	Protista
Daa-veaghagh	Anfíbios
Chordata	Cordados
Caashey	Queijo
Smeyr-feeyney	Uva
Feill	Carne
Praase	Batata
Ard-whaiyl y Reeriaght Unnaneyssit as Nerin Hwoaie	Parlamento do Reino Unido
Çhaghnoaylleeaght	Tecnologia
Jeshaght	Máquina
Jeshaghteyrys	Engenharia
Çhaghteraght	Comunicação
Çhellvane	Telefone
Cultoor	Cultura
Çhengaghyn yn Unnaneys Oarpagh	Línguas da União Europeia
Co-vunstoo	Composto químico
Lheeys	Medicina
Sarajevo	Sarajevo
Quaiyl slattyssagh	Poder Legislativo
Windows Vista	Windows Vista
Fidel Castro	Fidel Castro
Ronney:Yn Vrasseel	Categoria:Brasil
Ronney:Yn Romaan	Categoria:Roménia
Bunstoo	Elemento (química)
Co-vreneen	Molécula
Bieauaghey	Aceleração
Bree	Energia
Forse	Força
Gamman	Jogo
Ym-hayrn	Gravidade
Glout	Massa
Fillym	Filme
Gas	Gás
Ushlagh	Líquido
Stooaltane	Sólido
Eirinys	Agricultura
Cadee	Algodão
Eaddeeyn	Roupa
Bieauid	Velocidade
Eaghtyr	Área
Oarn	Cevada
Harry S. Truman	Harry S. Truman
Peintal	Pintura
Jallooderys	Escultura
Daunse	Dança
Pasheydys	Olaria
Maria Kirilenko	Maria Kirilenko
Çhaghnoaylleeaght-fysseree	Tecnologia da informação
Maria Sharapova	Maria Sharapova
Chongqing	Chongqing
Tianjin	Tianjin
Wuhan	Wuhan
Rolley çheeraghyn y theihill	Lista de Estados soberanos
Yn Eash Chloaie	Idade da Pedra
Yn Çhenn Egypt	Antigo Egito
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin van Buren
William Henry Harrison	William Henry Harrison
John Tyler	John Tyler
James K. Polk	James K. Polk
Zachary Taylor	Zachary Taylor
Kevin Costner	Kevin Costner
Co-haaghey sollysh	Fotossíntese
Darragh (billey)	Carvalho
Juys (Pinus)	Pinheiro
1101	1101
Kerrin Tahrir	Praça Tahrir
Kahngyr	Cancro
Britaanish	Língua bretã
Cryss hraa	Fuso horário
Nicoteen	Nicotina
Gaelg	Língua manesa
Brattagh ny Britaan	Bandeira da Bretanha
Naoned	Nantes
Brest, y Vritaan	Brest (França)
Diwan (scoill)	Diwan
Gorley shymlee	Tuberculose
Clowan:Caslys-çheerey soiaghey ny Germaan	Predefinição:Mapa de localização/Alemanha
Clowan:Caslys-çheerey soiaghey ny h-Eeslynn	Predefinição:Mapa de localização/Islândia
Clowan:Caslys-çheerey soiaghey Norlynn	Predefinição:Mapa de localização/Noruega
Clowan:Caslys-çheerey soiaghey ny Danvarg	Predefinição:Mapa de localização/Dinamarca
Clowan:Caslys-çheerey soiaghey ny Soolynn	Predefinição:Mapa de localização/Suécia
Clowan:Caslys-çheerey soiaghey Finnlynn	Predefinição:Mapa de localização/Finlândia
Clowan:Caslys-çheerey soiaghey ny h-Estaan	Predefinição:Mapa de localização/Estônia
Clowan:Caslys-çheerey soiaghey ny Latvey	Predefinição:Mapa de localização/Letónia
Clowan:Caslys-çheerey soiaghey ny Litaan	Predefinição:Mapa de localização/Lituânia
Stanley, ny Malveenaghyn	Stanley (cidade)
Clowan:Caslys-çheerey soiaghey ny h-Erin	Predefinição:Mapa de localização/Irlanda
Clowan:Caslys-çheerey soiaghey ny Çheerey Injil	Predefinição:Mapa de localização/Países Baixos
Clowan:Caslys-çheerey soiaghey ny Frank	Predefinição:Mapa de localização/França
Clowan:Caslys-çheerey soiaghey Andorra	Predefinição:Mapa de localização/Andorra
Clowan:Caslys-çheerey soiaghey ny Spaainey	Predefinição:Mapa de localização/Espanha
Clowan:Caslys-çheerey soiaghey ny Portiugal	Predefinição:Mapa de localização/Portugal Continental
Clowan:Caslys-çheerey soiaghey ny h-Iddaal	Predefinição:Mapa de localização/Itália
Clowan:Caslys-çheerey soiaghey ny h-Elveeish	Predefinição:Mapa de localização/Suíça
Ard-obbrinys	Arquitetura
Clowan:Caslys-çheerey soiaghey ny h-Austeyr	Predefinição:Mapa de localização/Áustria
Clowan:Caslys-çheerey soiaghey ny Pobblaght Çheck	Predefinição:Mapa de localização/República Checa
Clowan:Caslys-çheerey soiaghey ny Slovack	Predefinição:Mapa de localização/Eslováquia
Droghad	Ponte
Clowan:Caslys-çheerey soiaghey ny h-Ungaar	Predefinição:Mapa de localização/Hungria
Clowan:Caslys-çheerey soiaghey ny Slovean	Predefinição:Mapa de localização/Eslovênia
Clowan:Caslys-çheerey soiaghey ny Serb	Predefinição:Mapa de localização/Sérvia
Clowan:Caslys-çheerey soiaghey Chosovo	Predefinição:Mapa de localização/Kosovo
Clowan:Caslys-çheerey soiaghey Vontenegro	Predefinição:Mapa de localização/Montenegro
Clowan:Caslys-çheerey soiaghey Phobblaght ny Massadoan	Predefinição:Mapa de localização/Macedônia
Clowan:Caslys-çheerey soiaghey ny h-Albaan	Predefinição:Mapa de localização/Albânia
Clowan:Caslys-çheerey soiaghey ny Greag	Predefinição:Mapa de localização/Grécia
Clowan:Caslys-çheerey soiaghey ny Bulgeyr	Predefinição:Mapa de localização/Bulgária
Clowan:Caslys-çheerey soiaghey ny Romaan	Predefinição:Mapa de localização/Roménia
Clowan:Caslys-çheerey soiaghey Voldova	Predefinição:Mapa de localização/Moldávia
Millard Fillmore	Millard Fillmore
Clowan:Caslys-çheerey soiaghey ny h-Ookraan	Predefinição:Mapa de localização/Ucrânia
Franklin Pierce	Franklin Pierce
Clowan:Caslys-çheerey soiaghey ny Shorshey	Predefinição:Mapa de localização/Geórgia
Clowan:Caslys-çheerey soiaghey ny h-Armeain	Predefinição:Mapa de localização/Armênia
Clowan:Caslys-çheerey soiaghey ny h-Asserbajaan	Predefinição:Mapa de localização/Azerbaijão
Clowan:Caslys-çheerey soiaghey ny Kassaghstaan	Predefinição:Mapa de localização/Cazaquistão
Clowan:Caslys-çheerey soiaghey ny Turkmenistaan	Predefinição:Mapa de localização/Turquemenistão
James Buchanan	James Buchanan
Clowan:Caslys-çheerey soiaghey ny Ceeprey	Predefinição:Mapa de localização/Chipre
Clowan:Caslys-çheerey soiaghey ny Livaan	Predefinição:Mapa de localização/Líbano
Clowan:Caslys-çheerey soiaghey Israel	Predefinição:Mapa de localização/Israel
Clowan:Caslys-çheerey soiaghey ny h-Afghanistaan	Predefinição:Mapa de localização/Afeganistão
Clowan:Caslys-çheerey soiaghey ny h-Injey	Predefinição:Mapa de localização/Índia
Clowan:Caslys-çheerey soiaghey ny Vietnam	Predefinição:Mapa de localização/Vietnã
Clowan:Caslys-çheerey soiaghey ny h-Austrail	Predefinição:Mapa de localização/Austrália
Clowan:Caslys-çheerey soiaghey Phalau	Predefinição:Mapa de localização/Palau
Clowan:Caslys-çheerey soiaghey ny Soorinam	Predefinição:Mapa de localização/Suriname
Clowan:Caslys-çheerey soiaghey ny Shillee	Predefinição:Mapa de localização/Chile
Clowan:Caslys-çheerey soiaghey ny h-Argenteen	Predefinição:Mapa de localização/Argentina
Clowan:Caslys-çheerey soiaghey ny Paraguay	Predefinição:Mapa de localização/Paraguai
Clowan:Caslys-çheerey soiaghey ny Brasseel	Predefinição:Mapa de localização/Brasil
Staydraa	Estatística
Greeish	Escada
Pyramid	Pirâmide (arquitetura)
Impiraght Romanagh Vannee	Sacro Império Romano-Germânico
