Afríka	África
Óevklíðsk rúmfræði	Geometria não euclidiana
431 f.Kr.	431 a.C.
Sofi Oksanen	Sofi Oksanen
Severo Ochoa	Severo Ochoa
Máni	Mani
Emilia Rydberg	Emilia Rydberg
Ian McShane	Ian McShane
Læmingi	Lêmingue
Dian Fossey	Dian Fossey
Súra	Sura
Felicia Day	Felicia Day
Hadíða	Hadith
Casanova (aðgreining)	Casanova (desambiguação)
Mammút	Mammoth
Sérsveit	Força especial
Túnkempa	Agaricus campestris
Diane Arbus	Diane Arbus
Mercè Rodoreda	Mercè Rodoreda
Vitré	Vitré
Suzi Quatro	Suzi Quatro
Mar	Mar (desambiguação)
Iva Zanicchi	Iva Zanicchi
Línueyjar	Espórades Equatoriais
Allah	Alá
Hadsjí	Hajj
Katalónsku löndin	Países Catalães
Pittsburgh-háskóli	Universidade de Pittsburgh
Búðarkassi	Caixa registradora
Broadway-leikhús	Teatro da Broadway
Hvítur (kynþáttur)	Brancos
Manizales	Manizales
Jakob 1. Skotakonungur	Jaime I da Escócia
Hinrik ungi	Henrique, o Jovem
Rachael Taylor	Rachael Taylor
458 f.Kr.	458 a.C.
Orrustan um Alamo	Batalha do Álamo
Jóhanna Sikileyjardrottning	Joana de Inglaterra, rainha da Sicília
Netscape Navigator	Netscape Navigator
Lotta Engberg	Lotta Engberg
Jessica Stam	Jessica Stam
Filippa af Englandi	Filipa da Inglaterra
Jeanine Deckers	Jeanine Deckers
Yipsi Moreno	Yipsi Moreno
Lily Cole	Lily Cole
Jóhanna af Auvergne, Frakklandsdrottning	Joana I de Auvérnia
Kathy Najimy	Kathy Najimy
Alísa af Frakklandi	Adela de França, condessa de Vexin
Elizabeth Garrett Anderson	Elizabeth Garrett Anderson
Anne Francis	Anne Francis
Martha Nussbaum	Martha Nussbaum
Sofia Milos	Sofia Milos
Shelley Duvall	Shelley Duvall
Margrét af Frakklandi, Englandsdrottning	Margarida de França, Rainha da Inglaterra
Margrét af Skotlandi, Noregsdrottning	Margarida, Princesa da Escócia
Matthildur hertogaynja af Saxlandi	Matilde de Inglaterra, duquesa da Saxônia
Bonne af Lúxemborg	Bona de Luxemburgo
Kim Rhodes	Kim Rhodes
Daniela Ruah	Daniela Ruah
Hipparkía	Hipárquia
Petra Němcová	Petra Němcová
461 f.Kr.	461 a.C.
Skráasnið	Formato de arquivo
Almennt ár	Ano comum
Ruth Prawer Jhabvala	Ruth Prawer Jhabvala
466 f.Kr.	466 a.C.
Vopnin kvödd	Adeus às Armas
Kikki Danielsson	Kikki Danielsson
470 (kæna)	470 (vela)
Abbie Cornish	Abbie Cornish
Anna Belknap	Anna Belknap
Suðurkeilan	Cone Sul
Fellibylurinn Gustav	Furacão Gustav
Jóhanna af Valois	Joana de Valois, Duquesa de Berry
Alexandra Marinina	Aleksandra Marínina
Gnómon	Gnômon
Kólumkilli	São Columba
Stymfalsfuglar	Aves do Lago Estínfalo
Olivia Munn	Olivia Munn
Beau Garrett	Beau Garrett
478 f.Kr.	478 a.C.
Sextos Empeirikos	Sexto Empírico
Keltneskar þjóðir	Nações celtas
Formerkisfall	Função sinal
Kay Panabaker	Kay Panabaker
Paget Brewster	Paget Brewster
Adeliza af Louvain	Adeliza de Lovaina
Linda Maria Baros	Linda Maria Baros
Botnþörungar	Macroalga
Elisabeth Harnois	Elisabeth Harnois
Larisa Oleynik	Larisa Oleynik
Tónik	Água tônica
Unnur Birna Vilhjálmsdóttir	Unnur Birna Vilhjálmsdóttir
Donna Leon	Donna Leon
Tress MacNeille	Tress MacNeille
Moira Kelly	Moira Kelly
Sameignarstefna	Coletivismo
Skjaldarmerki Gabon	Brasão de armas do Gabão
Kvarsít	Quartzito
Alexander 2. Skotakonungur	Alexandre II da Escócia
Klipping (kvikmyndagerð)	Montagem
Sjökonungaríkið	Heptarquia
499 f.Kr.	499 a.C.
49er	49er
Minnesota-háskóli	Universidade de Minnesota
Borgarljósin	Luzes da Cidade
Hyrnuskeljar	Scaphopoda
Jason	Jason
Simon Pegg	Simon Pegg
Hermesarstafurinn	Caduceu
Heimsfriður	Paz mundial
Hafsbotnsskorpa	Crusta oceânica
Mangystáfylki	Mangghystau
Moon Bloodgood	Moon Bloodgood
Molly Shannon	Molly Shannon
Bambi	Bambi (desambiguação)
Lily Donaldson	Lily Donaldson
Phou Bia	Phou Bia
Davíð 2. Skotakonungur	David II da Escócia
Alek Wek	Alek Wek
Útdauða í náttúrulegum heimkynnum	Espécie extinta na natureza
Málgjörð	Atos de fala
Nólsey	Nólsoy
Vaurien	Vaurien
Y (bær)	Y (Somme)
500 f.Kr.	500 a.C.
Limp Bizkit	Limp Bizkit
Joan Rivers	Joan Rivers
505 (kæna)	505 (vela)
Brjóstmynd	Busto
Antígóna (Sófókles)	Antígona (Sófocles)
Ferit Orhan Pamuk	Orhan Pamuk
509 f.Kr.	509 a.C.
Söluviðurkenning fyrir tónlist	Certificações por vendas de gravação musical
Brad Friedel	Brad Friedel
Norðurland eystra	Norðurland Eystra
Lesitín	Lecitina
Handklæðisdagur	Dia da Toalha
Mínos (Platon)	Minos (diálogo)
Sanaa Lathan	Sanaa Lathan
Evrópukeppnin í knattspyrnu 2008	Campeonato Europeu de Futebol de 2008
OMIM	Online Mendelian Inheritance in Man
Hummus	Homus
Lambda-reikningur	Cálculo lambda
Tamíl Ílam	Tamil Eelam
Homininae	Homininae
Peisistratos	Pisístrato
Hekatajos	Hecateu de Mileto
Bóholhaf	Mar de Bohol
Hera	Hera (desambiguação)
Zemfira	Zemfira
Flæmingjar (þjóðflokkur)	Flamengos
IANA	Internet Assigned Numbers Authority
Judy Reyes	Judy Reyes
Diane Neal	Diane Neal
Meja	Meja
Raquel Zimmermann	Raquel Zimmermann
Chasey Lain	Chasey Lain
Blanka af Namur	Branca de Namur
Bertrade de Montfort	Bertranda de Monforte
Klettafjallageit	Oreamnos americanus
Natalie Maines	Natalie Maines
Kathleen Hanna	Kathleen Hanna
Sarah Lancaster	Sarah Lancaster
Foxy Brown	Foxy Brown (rapper)
Rena Sofer	Rena Sofer
Mary Ainsworth	Mary Ainsworth
Meredith Monroe	Meredith Monroe
Khandi Alexander	Khandi Alexander
Ísabella af Gloucester	Isabel de Gloucester
Genevieve Cortese	Genevieve Cortese
Mary McCormack	Mary McCormack
La Concorde	La Concorde
Erekþeion	Erecteion
Fyllimengi	Complementar
Toni Basil	Toni Basil
Haskell	Haskell
Lynwood	Lynwood
Sin City	Sin City (desambiguação)
Ver	Ver
Lincolnhaf	Mar de Lincoln
Publius Papinius Statius	Estácio
Uppstoppun	Taxidermia
Misvísun	Declinação magnética
Kí-kvaðratsdreifing	Chi-quadrado
546 f.Kr.	546 a.C.
George J. Stigler	George Joseph Stigler
Iðnhönnun	Design de produto
Sherlock Holmes: Skuggaleikur	Sherlock Holmes: A Game of Shadows
Fjölkvæni	Poliginia
Alfred Jules Ayer	Alfred Jules Ayer
Skaði	Skadi
Diablo II	Diablo II
Dvergþorskur	Trisopterus minutus
Fædon (Platon)	Fédon
Nagornó-Karabak-lýðveldið	República do Nagorno-Karabakh
Campione d'Italia	Campione d'Italia
Flóðhæna	Porphyrio martinica
Hefðarfrúin og umrenningurinn 2: Vaskur í ævintýraleit	Lady and the Tramp II: Scamp's Adventure
Andlitsókenni	Prosopagnosia
Subway	Subway
Brainfuck	Brainfuck
Ultimate Frisbee	Ultimate
Snúningur jarðar	Rotação da Terra
Samsetning falla	Composição de funções
Djúprista	Calado
Tekanna	Bule
Herstöð	Base militar
Millinafn	Nome do meio
Ewood Park	Ewood Park
Vænghaf	Envergadura
Bolzanosetningin	Teorema do valor intermediário
Þríhyrningstala	Número triangular
Brem-sur-Mer	Brem-sur-Mer
12-spora kerfi	Programa de 12 passos
King's College London	King's College de Londres
Flugsund	Borboleta (natação)
William Styron	William Styron
Borgaklasi	Conurbação
Foxtrot (dans)	Foxtrote
Samsett orð	Composição (linguística)
Zynga	Zynga
Kalli á þakinu (teiknimynd)	Karlsson on the Roof 2002
Frosinn	Frozen (2013)
De Oratore	De Oratore
Sveinn Ástríðarson	Sueno II da Dinamarca
Angelicum	Pontifícia Universidade Santo Tomás de Aquino
Warner Communications	Warner Communications
Aelius Donatus	Élio Donato
Pro Tools	Pro Tools
Framfarir	Progresso (filosofia)
Flugfélag Íslands	Air Iceland
Viðarkveif	Galerina marginata
Þorskur	Gadus
Avro	Avro
Mussolini	Mussolini (desambiguação)
Oyster-kort	Oyster card
À la carte	À la carte
Ágrip af Noregskonungasögum	Ágrip af Nóregskonungasögum
Keila	Keila
Ágætis byrjun	Ágætis byrjun
Anthony Kenny	Anthony Kenny
Týdeifur	Tideu
Amstetten	Amstetten (Áustria)
Rauði herinn	Exército Vermelho
Frelsi, jafnrétti, bræðralag	Liberté, égalité, fraternité
Ángel Di María	Ángel Di María
Hrekkjavaka	Dia das bruxas
Hrökkbrauð	Knäckebröd
Sveitarfélagið Árborg	Árborg
Árni Gautur Arason	Árni Gautur Arason
Árni Magnússon	Árni Magnússon
Ásgeir Sigurvinsson	Ásgeir Sigurvinsson
Fyrsta meginlandsþingið	Primeiro Congresso Continental
Graflax	Gravad lax
Aðventukrans	Coroa do Advento
SÍF	Sif
Míla	Milha
Discworld	Discworld
Alþjóðaknattspyrnusambandið	Federação Internacional de Futebol
Lageröl	Lager
Berengaría af Portúgal	Berengária de Portugal, rainha da Dinamarca
Einkaleyfi	Patente
Egypska karlalandsliðið í handknattleik	Seleção Egípcia de Handebol Masculino
Eddie Izzard	Eddie Izzard
Krímstríðið	Guerra da Crimeia
Slipknot	Slipknot
Rúst	Rust
Þjóðskrá	Registro civil
Papa Roach	Papa Roach
Rosalia mey	Santa Rosália
Einslögun (stærðfræði)	Semelhança
Einar Benediktsson	Einar Benediktsson
Robert R. Gilruth	Robert Gilruth
Ronnie Coleman	Ronnie Coleman
Älvsbyn	Älvsbyn
Ofurpaur	Superusuário
Rush Hour	Rush Hour
Djassrapp	Jazz rap
Beinabúr	Ossário
Málskipti	Alternância de código linguístico
Aðþrengdar eiginkonur (1. þáttaröð)	Desperate Housewives (1ª temporada)
Fet (aðgreining)	Fet (desambiguação)
Miðbaugsskírn	Rito de passagem da linha do Equador
Geislaálag	Dose equivalente
Skeiðará	Skeiðará
Flikruberg	Ignimbrito
A Clockwork Orange	Laranja Mecânica
Fúnksjónalismi	Funcionalismo
Kirsten	Kirsten
Elisabeth Andreassen	Elisabeth Andreassen
Margaret Cho	Margaret Cho
Rín	Rin
Tanka	Tanka
Gyðla	Ninfa (biologia)
In Flames	In Flames
Trotula	Trotula
Tarsan 2	Tarzan II
Ustersbach	Ustersbach
Motorola	Motorola
Gällivare	Gällivare
ECMAScript	ECMAScript
Michael Ventris	Michael Ventris
Ástralskur dalur	Dólar australiano
Kvikskurður	Vivissecção
Norn	Bruxaria
Theatiner-kirkjan í München	Theatinerkirche
Listi yfir lönd og útliggjandi yfirráðasvæði eftir stærð	Lista de países e territórios por área
Flokkur:Þýsk fyrirtæki	Categoria:Empresas da Alemanha
Gúmmístígvél	Galocha
Traun	Traun
Steyr	Steyr
Haraldur gilli	Haroldo IV da Noruega
Nirvana	Nirvana (desambiguação)
Övertorneå	Övertorneå
Spilasalur	Fliperama
Frumspekileg náttúruhyggja	Naturalismo metafísico
Lunokhod 1	Lunokhod 1
Býkúpugröf	Tolo (arqueologia)
Matthew Meselson	Matthew Meselson
Apófyllít	Apofilita
Fjölgreindakenningin	Inteligências múltiplas
Rúningur	Tosquia
Muse Watson	Muse Watson
Hōryū-ji	Horyu-ji
Kimmería	Placa cimeriana
Blátjald	Chroma key
Louise Lombard	Louise Lombard
Amy Sedaris	Amy Sedaris
Tiiu Kuik	Tiiu Kuik
Lauren Lee Smith	Lauren Lee Smith
Agnes af Brandenborg	Agnes de Brandemburgo
Halla Margrét Árnadóttir	Halla Margrét Árnadóttir
Arete frá Kýrenu	Areta de Cirene
Sara Bergmark Elfgren	Sara Bergmark Elfgren
Birgitta Haukdal	Birgitta Haukdal
Nicki Lynn Aycox	Nicki Aycox
Ellen MacArthur	Ellen MacArthur
Adrianne Palicki	Adrianne Palicki
Höfundaréttur	Direito autoral
Les Paul	Les Paul
Aflagssögn	Depoente
Antósýanefni	Antocianina
Kath Soucie	Kath Soucie
Íslenski hesturinn	Cavalo islandês
Lill Lindfors	Lill Lindfors
Kaliforníuháskóli í Santa Barbara	Universidade da Califórnia em Santa Bárbara
Bertrand Gille	Bertrand Gille
Jordan Mechner	Jordan Mechner
Kreml	Kremlin
Floria Sigismondi	Floria Sigismondi
Alona Tal	Alona Tal
Nóta (tónlist)	Nota
Alejandro Jodorowsky	Alejandro Jodorowsky
Nu metal	Nu metal
Emperor	Emperor
Gorgías (Platon)	Górgias (diálogo)
Common Gateway Interface	CGI
Gianni Versace	Gianni Versace
Grænþörungar	Chlorophyta
Sódavatn	Água gaseificada
Marcia Wallace	Marcia Wallace
Um skáldskaparlistina	Poética (Aristóteles)
Aileen Wuornos	Aileen Wuornos
Menningarkimi	Subcultura
Ákveðin lýsing	Descrições definidas
Vadstena	Vadstena
Bein	Osso
Ólafur hungur	Olavo I da Dinamarca
Concrete	Concrete (Fear Factory)
Iamamiwhoami	Iamamiwhoami
Wayne Rooney	Wayne Rooney
Portolanokort	Portulano
Stepmom	Lado a Lado (filme)
Mandy Patinkin	Mandy Patinkin
Angíótensín II	Angiotensina I
Ivar Lo-Johansson	Ivar Lo-Johansson
Teketill Russells	Bule de chá de Russell
Þvottaklemma	Prendedor
Rafhlaða	Bataria
Kríton (Platon)	Críton
Bílastæði	Estacionamento
Póststrúktúralismi	Pós-estruturalismo
Oxfam	Oxfam
Mankala	Mancala
Darwin	Darwin
Screen Actors Guild-verðlaun	Prémios Screen Actors Guild
Wireless Markup Language	WML
Sporger ferill	Curva elíptica
Marilyn Waring	Marilyn Waring
Wendy Schaal	Wendy Schaal
Alþjóðasteindarfræðisamtökin	Associação Mineralógica Internacional
David Bergey	David Hendricks Bergey
Hugo Banzer	Hugo Banzer
Svaneðlur	Plesiosauria
Fimmta konungsættin	V dinastia egípcia
Fanir (sveppir)	Lamela (micologia)
Georg 5.	Jorge V do Reino Unido
Eldgosið í Eyjafjallajökli 2010	Erupções do Eyjafjallajökull em 2010
Suffocation	Suffocation
Enska úrvalsdeildin 2005-06	FA Premier League de 2005–06
Járnfrúin (kvikmynd)	A Dama de Ferro
Don Rickles	Don Rickles
Hryðjuverkin 29. mars 2010	Atentados terroristas no Metropolitano de Moscovo de 2010
Sjötta konungsættin	VI dinastia egípcia
Rockefeller-háskóli	Universidade Rockefeller
Apple TV	Apple TV
Pétur Pan (kvikmynd 1953)	Peter Pan (filme)
Vampire Knight	Vampire Knight
Scream 2	Scream 2
Írskt pund	Libra irlandesa
Persónuleikaröskun	Transtorno de personalidade
Silt	Silte
Opinbert fyrirtæki	Empresa estatal
Kjúlli litli	Chicken Little
Álandshaf	Mar de Åland
Åmål	Åmål
Ånge	Ånge
Konungur Ítalíu	Lista de reis da Itália
Herkúles (kvikmynd)	Hércules (filme)
Pýtonslanga	Python (gênero)
Åsele	Åsele
Åtvidaberg	Åtvidaberg
Jaboatão dos Guararapes	Jaboatão dos Guararapes
Hallgrímskirkja (Reykjavík)	Hallgrímskirkja
Daryl Sabara	Daryl Sabara
Strandfura	Pinheiro-bravo
Fiskinet	Rede de pesca
Þríforkur	Tridente
Katekólamín	Catecolamina
James Mill	James Mill
Landslagsþáttur	Acidente geográfico
Charles Le Brun	Charles Le Brun
Flotfræði	Reologia
Persónuleiki	Psicologia da personalidade
Mýósín	Miosina
Karen	Karens
Sinfónísk ljóð	Poema sinfônico
Próklos	Proclo
Ducati	Ducati
Snemmgrískur tími	Período Arcaico
Thích Quảng Đức	Thích Quảng Đức
Fjárlög	Orçamento de Estado
Franska Miðbaugs-Afríka	África Equatorial Francesa
Kaupmáttur	Poder de compra
Matarsjúkdómur	Intoxicação alimentar
Skattaskjól	Paraíso fiscal
Skógláp	Shoegaze
Van Morrison	Van Morrison
Jill Johnson	Jill Johnson
Endanlegt mengi	Conjunto finito
Samgæði	Bem público (economia)
Tíðindalaust á vesturvígstöðvunum	All Quiet on the Western Front
John L. Austin	John Langshaw Austin
Fatboy Slim	Fatboy Slim
Gallsteinar	Colelitíase
Listi yfir þjóðtungur Indlands	Lista de línguas nacionais da Índia
John Hancock	John Hancock
Híerónýmusarklaustrið (Lissabon)	Mosteiro dos Jerónimos
Epidót	Epídoto
Rómverskar nafnavenjur	Convenção romana de nomes
Kazuo Ishiguro	Kazuo Ishiguro
The Elephant Man	O Homem Elefante
Jakob 2. Skotakonungur	Jaime II da Escócia
Ciara Bravo	Ciara Bravo
Kristen Schaal	Kristen Schaal
Estelle Harris	Estelle Harris
Joan Cusack	Joan Cusack
Robert Patrick	Robert Patrick
Símonídes frá Keos	Simónides de Ceos
Martini (kokkteill)	Martini
Keke Palmer	Keke Palmer
R. Kelly	R. Kelly
Skutur	Popa
Klippari	Clipper (veleiro)
Lýsa	Merlangius merlangus
Högnun	Arbitragem (economia)
Mótmæli	Protesto
Reykelsi	Incenso
Emerson, Lake & Palmer	Emerson, Lake & Palmer
Skotbakvörður	Ala-armador
Amintore Fanfani	Amintore Fanfani
Sangria	Sangria (bebida)
Hlutheildun	Integração por partes
Ítalíustríðin	Guerras Italianas
Úfur	Úvula
Málsvörn Sókratesar (Platon)	Apologia de Sócrates
Seneca eldri	Marco Aneu Sêneca
Göngu-Hrólfur	Rollo
Fjórvegur	Quadrívio
Hrúga (tölvunarfræði)	Heap
Patrick Pearse	Patrick Pearse
Spælegg	Ovo frito
Eiturvirkni	Toxicidade
Bakarí	Padaria
Forsætisráðherra Japans	Primeiro-Ministro do Japão
Listi yfir þjóðhöfðingja Navarra	Lista de reis de Navarra
Súmersk trúarbrögð	Mitologia suméria
Baksund	Costas (natação)
Captain America: The First Avenger	Capitão América: O Primeiro Vingador
Caernarfonkastali	Castelo de Caernarfon
Scratch	Scratch
Propylaea	Propileu
Fíkjutré Benjamíns	Ficus benjamina
Marouane Fellaini	Marouane Fellaini
O Clone	O Clone
Brútus (Cicero)	Bruto (Cícero)
Kasímír hrif	Efeito Casimir
Skíði (hvalir)	Barbas de baleia
Hallatala	Declive
Textarýni	Crítica textual
Skjávarpi	Projetor de vídeo
Smurbrauð	Smørrebrød
Brjóskgljáfiskar	Chondrostei
Kirsten Vangsness	Kirsten Vangsness
Gliese 581 e	Gliese 581 e
90210	90210
Skáli	Pavilhão
Jim Varney	Jim Varney
Joe Mantegna	Joe Mantegna
H. Jon Benjamin	H. Jon Benjamin
Marens	Suspiro (doce)
A Cinderella Story	A Cinderella Story
Skrímsli	Monstro
Paul Rudd	Paul Rudd
Ameríkudeildin (NFL)	American Football Conference
Borgarnes	Borgarnes
Ismail Ibn Sharif	Moulay Ismail
Balíhaf	Mar de Bali
Suðaustur-Asíubandalagið	Organização do Tratado do Sudeste Asiático
Panic! At The Disco	Panic! at the Disco
Kakemono	Kakemono-e
Loona	Loona
Estrógen	Estrogênio
Mödling	Mödling
AFC Norður	AFC North
Viðkvæmar tegundir	Espécie vulnerável
Doppler	Doppler
Hvalfjarðarsveit	Hvalfjarðarsveit
Samdrykkjan (Xenofon)	Simpósio (Xenofonte)
Málsvari andskotans	Advogado do Diabo
Edward	Edward
Frúarkirkjan í Ágsborg	Catedral de Augsburgo
Mitch Pileggi	Mitch Pileggi
Kosningar í Bandaríkjunum	Eleições nos Estados Unidos
Dómkirkjan í Brúnsvík	Catedral de Brunsvique
Fjölnotatæki	Equipamento multifuncional
Meistaradeild Evrópu 1998-99	Liga dos Campeões da UEFA de 1998–99
Ungmennafélagið Stjarnan	Ungmennafélagið Stjarnan
Geena Davis	Geena Davis
A4	A4
Péturskirkjan í Regensburg	Catedral de Ratisbona
CNRS	Centre national de la recherche scientifique
Aþenodóros frá Kanönu	Atenodoro de Tarso
Ránjaxl	Carniceiro (dente)
Georg 6. Bretlandskonungur	Jorge VI do Reino Unido
Tímon frá Flíos	Tímon (filósofo)
Degu	Octodon degus
Kurteisi	Cortesia
André Franquin	André Franquin
Pípuorgel	Órgão (instrumento musical)
Batman (aðgreining)	Batman (desambiguação)
Kawaii	Kawaii
Hans Egede	Hans Egede
Barónett	Baronete
Íverufall	Caso inessivo
Hið fullkomna morð	A Perfect Murder
Yu Suzuki	Yu Suzuki
Ábendingarfornafn	Mostrativo
Mangoldtsfallið	Função de Mangoldt
BOPE	Batalhão de Operações Policiais Especiais (PMERJ)
Alucard (Hellsing)	Alucard (Hellsing)
Sjávarsalt	Sal marinho
Trent Reznor	Trent Reznor
Corona (hljómsveit)	Corona (banda)
Basil Zaharoff	Basil Zaharoff
Höfn	Abra
Private Practice	Private Practice (série)
Langisjór	Lago Langisjór
Alfons 5.	Afonso V de Leão
Sæmundur fróði Sigfússon	Sæmundr fróði
Bein ræða	Discurso direto
Carol Gilligan	Carol Gilligan
Lola Glaudini	Lola Glaudini
Creative Commons-leyfi	Licenças Creative Commons
Árjúratímabilið	Jurássico Inferior
Karneades	Carnéades
Hið alsjáandi auga	Olho da Providência
Lill-Babs	Lill-Babs
Siw Malmkvist	Siw Malmkvist
Imelda Marcos	Imelda Marcos
Indverski flughundur	Pteropus giganteus
Medea (Evripídes)	Medeia (Eurípides)
BLAST	BLAST
Fiera di Primiero	Fiera di Primiero
ABC-ríkin	Pacto do ABC
Abbas 2.	Abas II
Simon Blackburn	Simon Blackburn
Samantha Ferris	Samantha Ferris
Ingibjörg Eiríksdóttir af Danmörku	Ingeborg da Dinamarca, Rainha da Noruega
Liz Vassey	Liz Vassey
Ríkissa Valdimarsdóttir	Rikissa de Dinamarca
Rebecca Pidgeon	Rebecca Pidgeon
Liza Lapira	Liza Lapira
The Hives	The Hives
Gordy	Gordy, o porquinho herói
Emily Browning	Emily Browning
G.I. Joe: The Rise of Cobra	G.I. Joe: The Rise of Cobra
Málari	Pintor (profissional)
Guðleysi	Agnosticismo
Marjorie Estiano	Marjorie Estiano
Bleklar	Coprinus
Huri	Houri
Grigno	Grigno
Codex Ephraemi Rescriptus	Codex Ephraemi Rescriptus
Imèr	Imer (Itália)
Evrópumeistaramót karla í handknattleik 1994	Campeonato Europeu de Handebol Masculino de 1994
Marjorie Bruce	Marjorie Bruce
Greta Salóme Stefánsdóttir	Gréta Salóme Stefánsdóttir
Cristina Scabbia	Cristina Scabbia
Íþróttabandalag Akraness	ÍA Akranes
Íþróttabandalag Vestmannaeyja	Íþróttabandalag Vestmannaeyja
Íþróttafélagið Fylkir	Fylkir FC
Ísafjarðarbær	Ísafjarðarbær
AFC Austur	AFC East
Ísleifur Gissurarson	Ísleifur Gissurarson
Listeria monocytogenes	Listeria monocytogenes
Ásgarður (aðgreining)	Asgard (desambiguação)
Poison	Poison
AFS	AFS Intercultural Programs
Demodex	Demodex
Monte Carlo (aðgreining)	Monte Carlo (desambiguação)
Hólmfríður Karlsdóttir	Hólmfríður Karlsdóttir
Ólafur Arnalds	Ólafur Arnalds
Ólafur Jóhannesson (f. 1913)	Ólafur Jóhannesson
Ólafur Thors	Ólafur Thors
Ólafsvaka	Ólavsøka
Oscar De La Hoya	Oscar de la Hoya
Ödeshög	Ödeshög
Ödípús í Kólonos	Édipo em Colono
Krítías	Crítias
Emilia Plater	Emília Plater
Boz	Boz
Sía	Sia
Yb	YB
Fit	FIT
Mihai Ghimpu	Mihai Ghimpu
Róbert 3. Skotakonungur	Roberto III da Escócia
Aulus Gellius	Aulo Gélio
César Azpilicueta	César Azpilicueta
Matthew Morrison	Matthew Morrison
